request_date	platform	proid	uv	pv	content_name	
2018-12-07	wechat	1363946bc58099437968c55aca064c6d	2	2	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-07	app	5353549b7615962771f152d3abb168de	3	3	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-07	app	75404bc24cd474eda9b74506177e9e8f	2	3	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-07	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	35	79	计时保洁仅限周一到周五使用（3小时）	
2018-12-07	app	43f75f30bac87d6def9de302d674391e	16	28	【特惠】羽绒服/棉服（短清洗）	
2018-12-07	wechat	1f916d2ace5de76f81b25147ddb08983	3	6	【特惠】羽绒服/棉服（长）清洗	
2018-12-07	app	4cc2a42333c97f5bb7057932d62597e8	13	22	碧然德滤水壶多效滤芯6枚装	
2018-12-07	wechat	43f75f30bac87d6def9de302d674391e	1	2	【特惠】羽绒服/棉服（短清洗）	
2018-12-07	app	64df078f44107a73ec58443bc70d3cfc	16	17	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-07	wechat	ccc7387d81b5f340c60569297abd7b49	1	1	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-07	app	ccc7387d81b5f340c60569297abd7b49	10	12	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-07	app	1363946bc58099437968c55aca064c6d	11	26	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-07	app	1f916d2ace5de76f81b25147ddb08983	15	23	【特惠】羽绒服/棉服（长）清洗	
2018-12-08	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	1	2	计时保洁仅限周一到周五使用（3小时）	
2018-12-08	wechat	1363946bc58099437968c55aca064c6d	3	3	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-08	wechat	1f916d2ace5de76f81b25147ddb08983	1	2	【特惠】羽绒服/棉服（长）清洗	
2018-12-08	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	29	56	计时保洁仅限周一到周五使用（3小时）	
2018-12-08	app	1363946bc58099437968c55aca064c6d	10	18	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-08	app	4cc2a42333c97f5bb7057932d62597e8	8	10	碧然德滤水壶多效滤芯6枚装	
2018-12-08	app	1f916d2ace5de76f81b25147ddb08983	27	54	【特惠】羽绒服/棉服（长）清洗	
2018-12-08	app	64df078f44107a73ec58443bc70d3cfc	6	7	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-08	wechat	43f75f30bac87d6def9de302d674391e	1	1	【特惠】羽绒服/棉服（短清洗）	
2018-12-08	app	ccc7387d81b5f340c60569297abd7b49	18	30	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-08	app	75404bc24cd474eda9b74506177e9e8f	2	2	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-08	app	43f75f30bac87d6def9de302d674391e	25	44	【特惠】羽绒服/棉服（短清洗）	
2018-12-08	wechat	4cc2a42333c97f5bb7057932d62597e8	1	1	碧然德滤水壶多效滤芯6枚装	
2018-12-08	app	5353549b7615962771f152d3abb168de	1	1	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-09	app	4cc2a42333c97f5bb7057932d62597e8	10	14	碧然德滤水壶多效滤芯6枚装	
2018-12-09	wechat	ccc7387d81b5f340c60569297abd7b49	1	1	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-09	wechat	1363946bc58099437968c55aca064c6d	1	1	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-09	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	2	5	计时保洁仅限周一到周五使用（3小时）	
2018-12-09	app	1363946bc58099437968c55aca064c6d	23	35	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-09	app	ccc7387d81b5f340c60569297abd7b49	21	32	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
